asin,Name,Price,Avg Rating,# of Ratings
B09YH2WD5Q,"plplaaoo Earthworm Bait,Earthworm Fishing Bait,Fishing Soft Lure Earthworm Bait,Lifelike Fake Earthworm Lures,Soft Plastic Fishing Lure Baits,Red Earthworm Fishing Baits for Freshwater",9.39,5.0,1
B0B59V5F61,"Smedioks Premium Soft Plastiс Mold Lure Making Injection Molds Fishing Lures 2 Cavity Baby Rage Craw Bait 3""",35.95,4.2,9
B0B3JWY1XN,"DELONG LURES 9"" Fishing Worms - Weedless Fishing Lure Worms, Prerigged Soft Plastic Worm Fishing Lures for Bass, Pike, Bass Lures Baits Tackle",14.95,3.9,48
B09XDNQW2Z,1.6in/3.3in Fishing Soft Lure Trout Worm Earthworm Bait Lifelike Fake Bloodworm Grub Worm Soft Fishing Lure Baits,7.99,3.8,260
B09ZTW8QD9,"Phuayok 100 pcs Bait Set,Split Plastic Soft Bait,Split Tail Lure Minnows, Worms for bass Fishing (Black Gold)",10.99,3.5,2
B09MD1WV31,"ProBite Paddle Tail Swimbaits,5in Soft Fishing Lures 30pcs - Natural Oils, Ribbed Design, Paddle Tail, Hook Slot - Bass Fishing Lures Baits (38)",16.99,3.5,16
B0B313Y44L,JOHNCOO Fishing Lure 3D Eyes Shad Lure Soft Bait Soft Silicone Bait Swimbaits Plastic Lure,10.99,4.3,507
B0B5LGSBRP,Ned-Rig-Baits-Jig-Heads-Kit-Smallmouth-Bass-Lures-Fishing-Soft-Plastic-Lures Trd Ned Rigs Worms Floating Finesse Small Bass Stick Bait Shroom Jigs Head Hooks for Large Mouth Lure Green Pumpkin White 35-Piece Kit,16.99,4.1,36
B09W2CVJH1,"cdbz 2022 New Soft Bionic Fishing Lure Set,Simulation Loach Soft Lure Fishing Bait Slow Sinking Bionic Fishing Swimming Lures Yellow",10.99,3.8,9
B09M6DZHTP,Goture Soft Lure Lead Jig Head Kit - 40PCS Soft Plastic Fishing Lure with Lead Head Jig Hook Set - Freshwater Tail Swimbaits with Tackle Box for Freshwater Bass Pike,8.99,3.8,9
B0B1CT8B8D,Cheerouters Hoochie Octopus Skirts Trolling Lures Fishing Tackle Soft Plastic Lures Luminous Squid Skirts Saltwater/Bait Lures1.9 '' - 8 ''（22PK）,13.99,4.8,6
B09ZHPQMHQ,"SMASHDIT Paddle Tail Swimbaits, Swim Baits, Soft Plastic Swimbaits - Paddle Tail Shad Bait for Bass Fishing, Swim Bait Plastics, Saltwater Fishing Lures, Soft Plastic Fishing Lures",18.9,3.9,5
B099QPWV69,"SYMEINA 100/60 pcs Paddle Tail Swimbaits Lures, Soft Plastic Fishing Lures Kit, Bass Fishing Bait for Freshwater and Saltwater with Box",8.99,4.1,206
B09B7NN67S,Fishing Squid Skirts Lures Octopus Skirts Trolling Lures Soft Plastic Lures Fishing Tackle Squid Skirts Fishing Bait for Saltwater Bass Salmon Trout,9.99,4.4,29
B09N93N3CZ,"Grub Fishing Lures,12pcs Soft Plastic Stick Bait Wacky Rig Bass Luresfor Saltwater/Freshwater,3 Inches.",5.99,3.9,6
B09WMJMSW3,Soft Bionic Fishing Lures - 10 Pcs With Luminous Fishing Equipment Slow Sinking Soft Bionic Fishing Lure - Bass Lures Fishing Stuff Simulation Loach Soft Bait - Faishing Bait for Saltwater & Freshwater,12.99,5.0,1
B09T377KYW,JOHNCOO Crappie Lures Mini Finesse Leech Soft Shad Baits 1.5in for Panfish,7.99,4.2,33
B0BFVZF58L,"Polsefver 10 Pcs Paddle Tail Swimbaits Minnow Swimbait Shad Lure Bulited in Reflective Stripe, Soft Lifelike Plastic Fishing Lures for Bass Trout Crappie Fishing",7.99,5.0,2
B0B1J4KZKG,"10PCS Soft Plastic Worms, Soft Swimbait Come with Jig Head, Soft Plastic Fishing Lures with a Tackle Box for Trout Walleye Bass Fishing 2.95in",9.99,4.3,53
B09YSZG5J2,"Soft-Bionic-Swimming-Fishing-Lures-Kit,Topwater Simulation Laoch Soft Lure with Spinning Tail Slow Sinking Bass Swimbaits Lifelike Plastic Soft Baits for Freshwater Saltwater Carp Walleye Pike",14.89,2.7,6
B09YQ5SFQ6,"Soft Bionic Fishing Lure Plastic - 6PCS Swimming Bait Bass Loach Realistic Lures for Saltwater, Freshwater(Mix Colors) Soft Swim baits with T-Tail",4.99,2.9,3
B09HPLR4F1,"PINGJIA TTY01, 7.5cm, 14g, Jig Head Fishing Lures, Soft Swimbaits for Bass Fishing，Lure Soft Baits, T-Tail, Jumping Fish Bait (1#2#3#4#5#)",15.99,3.8,14
B09Y8K4878,FishingPepo Soft Plastic Fishing Lure Swim Baits Senko Worms Soft Plastic Lures for Crappie Bass Trout,13.69,3.9,30
B09YCLPZW8,15Pcs Fishing Lures Soft Bait Head Sea Fish Lures with Hook for Bass Trout Pike Walleye for Freshwater Saltwater,4.99,5.0,1
B0B1PNFZ47,"30pcs Soft Plastic Fishing Lures, Bass Trout Worms Lure Wacky Worms for Bass Fishing with Worm Hooks Fishing Tackle Box",18.89,5.0,1
B0BFDV7CDH,ROYHOO 100pcs Luminous Silicone Soft Shrimp Lure Baits Soft Lure Worms Glow Simulation Prawn Shrimps Fishing Tackle Lures baits,9.99,3.0,1
B0BKSFMCZB,Piscorush Luminous Octopus Squid Skirts Trolling Lures Soft Plastic Fishing Lures Set Saltwater Bait Lures Multicolored 2'' - 6'',11.59,5.0,3
B09XCQ6YK6,"QualyQualy Artificial Soft Lures, 50pcs Soft Maggot Baits Small Artificial Soft Worm Lure Life-Like Worms Bass Fishing Baits Accessory",10.99,2.5,2
B09V9CQXB1,"Pure Crappie Pig Tail - White/Chartreuse 2” - 20 Pack – Curly Tail Grub Lure Perfect Soft Plastic Artificial Bait for Crappie, Walleye, Smallmouth Bass and Many Species of Fish",9.99,4.0,2
B0B74W5NXH,Bombrooster Soft Plastic Worms Swimbait Bass Fishing Lures 4.75” 20pcs,18.99,4.5,20
B09CFSLNP6,"Fishing Squid Skirts Octopus Lures, Glow Soft Plastic Fishing Bait Trolling Lure Saltwater for Bass Salmon Trout Multicolored 7cm 9cm 11cm",15.99,4.2,21
B09V2VQHJ8,"Fishing Lures, Bass Fishing Soft Plastics, Trout Pike Walleye Bass Fishing Jig Heads, Pre-Rigged Soft Swimbaits with Ultra-Sharp Hooks, Fishing Bait for Saltwater & Freshwater.",19.98,2.8,4
B097B2X5VF,"Bombrooster Topwater Frog Bait Kit for Bass, Weedless Soft Plastic Fishing Frog Lure with Double Rotatable Feet",12.88,4.1,24
B0B5X4SZH6,"Fishing Lure Baits Paddle Tail Swimbaits, 30pcs/40pcs Soft Plastic Lures Jerkbait with Weighted Hooks for Bass Fishing",17.98,3.5,2
B0BGHZCSKS,Dr.Fish 8 Pack Soft Baits 2-1/3 Inch Soft Plastic Lures Swimbaits Crawfish Lures Grub Craw Bait Crawdad LuresBass Trout Perch Walleye Freshwater,7.89,4.0,1
B0B1CHYJCM,FishForm Aluminum Injector for Soft Plastic Plastisol Bait Forms Fishing Lure Making 7oz and 9.5oz,59.99,4.0,8
B09QGTP3M9,Soft Squid Skirts Octopus Fishing Lures Plastic Hoochie Trolling Bait Lure Saltwater Multicolor 2.75in 3.54in 4.33in,9.99,5.0,5
B0B5WXHGS2,"Soft Plastic Crawfish Lures Kit, Crawfish Fishing Lure Ned Baits with Ned Rig Jig Heads Hooks for Bass Fishing, 2.5inch Pack of 30-40 PCS",17.89,5.0,1
B09XM51WDY,"Bombrooster Finesse Ned Worms Lures,TRD Soft Plastic Fishing Baits 30-Pack",16.98,4.5,94
B09NRJL7LB,"Soft Loach Fishing Lures, Hopping Swimbait, Enlarged Tail, Shrimp Oil Smell, Glitter Chips Bionic Scale Strong Body, Freshwater Saltwater, for Bass Snakehead Pike Trout, 5pc",3.99,3.8,77
B09W2MFCB8,"Soft Loach Fishing Lures,Fake Bait Soft Bionic Fishing Lure, Fishing Stuff Loach Soft Bait Slow Sinking Bionic Swimming Lures,Simulation Loach Soft Lure",5.99,3.0,2
B09ND4CDGR,"FISHINGKING Soft Plastic Shrimp Lures, 2.6 Inch 7 Pcs Topwater Floating Artificial Creature Bionic Bait Jig, Bass Fishing Shrimp Flavor Skirted Dancing Crawfish",7.99,4.0,9
B09Y2Y8GNR,"10Pcs Soft Bait Fishing Lures Bionic Plastic Swimbaits with 3D Eyes, Realistic Artificial Fishing Lures Mock Lure Can Bounce for Saltwater Freshwater Storage Box Included",9.99,5.0,1
B09X1MXJDC,"YYSKY Fishing Lures, Soft Bionic Fishing Lures That for Freshwater, Saltwater, Simulated Loach Apply to Bass, Catfish etc,Suitable for Outdoor Fishing Enthusiasts,Can as a Gift for Father",7.99,4.5,10
B09QCXR76Z,"Dovesun Soft Worms, Bass Fishing Lure Kit Soft Plastic Fishing Worms Wacky Rig Worms Soft Rubber Bait for Freshwater Saltwater Wacky Worms 4 | 5in / 50PCS",13.99,4.1,8
B09QCVPKZS,"Dovesun Soft Plastic Swimbaits, Split Tail Baits Realistic Fishing Lures Kit Bionic Mudfish Bait for Trout Pike Bass Fishing 4in 5PCS | 20PCS Include Fishing Hook 10pcs",7.99,3.9,23
B09C1ZRWFD,"Goture 10pcs Rattle Fishing Soft Lure - Freshwater & Saltwater Bass Fishing Worm Bait Swimbait for Black Bass, Topmouth Culter",8.59,4.1,12
B0BCNXSNTL,Top Water Bass Fishing Frog Lures - Trout Fishing Lures Kit Set Realistic Prop Frog Soft Swimbait Floating Bait with Weedless Hooks for Freshwater Saltwater - Pack of 3,7.99,5.0,4
B098TDPFV1,Pack of 50pcs Glow Soft Plastic Octopus Squid Skirt Fishing Lures Hoochies Trolling Saltwater Soft Fishing Lures Set for Bass Salmon Trout 5cm 10cm 12cm 15cm 10 Colors Included,21.99,4.2,191
B09C8F2FXV,Fishing Lures Squid Skirts Octopus Lures Soft Plastic Trolling Skirt Lure Kit Saltwater Fishing Bait for Bass Trout,11.99,4.1,229
B09MYT3ZJZ,ZRM&E 25pcs Fishing Rattles Worm Jig Fishing Lure Plastic Rattles Shake Metal Ball Rattles Insert Tube Sound Attract Fly Tie Tying 26mm 1.02Inch,7.99,3.0,2
B0B1CDXMXS,FishForm 4oz Aluminum Injector for Soft Bait Fishing Lure Making DIY Soft Lure Making Tool,47.0,4.3,2
B09R4GG5PG,5 PCS Frog Lures Topwater Fishing Artificial Soft Bait 5.5CM Soft Silicone Fishing Lures Prop Frog Lures for Bass Realistic Design with Weedless Hooks for Freshwater Saltwater,6.49,4.3,145
B09H7KTV9R,30PCS 7.5cm/ 3inch Fishing Soft Plastic Lure Octopus Skirt Trolling Squid Skirts Lures for Trolling Fishing,9.99,4.5,17
B09FPS2QLV,"FISHINGKING Soft Stick Bait, Bass Fishing Plastic Worm Lure 4.8 Inch 8 Pcs, Salt Impregnated Shrimp Flavor Senko Style",9.99,4.5,8
B09TKNKKLQ,"Fishing Squid Skirts Glow Soft Lures Luminous Octopus Skirts Trolling Lure Soft Fishing Bait for Bass Salmon Trout 5cm/1.96in,9cm/3.54in,11cm/4.33in Pack of 20",10.49,4.0,19
B09ND4JTSD,"FISHINGKING Soft Crawfish Bait, 2.6 Inch 7 Pcs Topwater Floating Plastic Craw Lure Lobster Artificial Swimbait, Bass Fishing Shrimp Flavor Jerkbait",7.99,4.0,3
B09786VQB4,"45 Pack Soft Worm Kit Soft Plastic Stick Worm Freshwater Saltwater Worm Bait Wacky Worm for Bass Fishing Lures Kit Great for Texas Rigged, Carolina Rigged, Pitched",15.99,5.0,1
B09QKMP12T,"FISHINGKING Paddle Tail Swimbait, 20 Pcs 1.97/2.36/2.76 Inch Soft Body Artificial Bait Plastic Shad Lure for Bass Fishing, Fishy Flavor",8.49,4.2,21
B0B3D98633,"Dovesun Paddle Tail Swimbait, Soft Plastic Swimbait Bass Fishing Lure 5 Colors Shad Minnow Bait Used with Chatterbait-Jig Head Rig Soft Swimbaits 3.7in 4.7in /40-50PCS",16.99,4.0,3
